"Date","Tsurf","Tbot","Ssurf","Sbot"
2019-08-24,31.33372521,31.27717217,15.39407174,15.99237192
2019-08-25,31.18364127,31.62985325,14.64869686,16.32243685
2019-08-26,30.59651971,30.62847265,15.8301278,15.8298773
2019-08-27,30.12213198,30.07236759,15.60239331,15.95465577
2019-08-28,30.53757167,30.49310168,14.64470887,15.03754183
2019-08-29,31.13722324,32.05821363,16.47143221,20.277632
2019-08-30,30.72024179,32.69566838,18.55108547,21.88430937
2019-08-31,30.84524226,32.1423676,18.6572756,21.09555801
2019-09-01,31.29566598,32.11632999,20.32578357,21.64353331
2019-09-02,31.52311778,32.14284015,20.24649628,21.5521644
2019-09-03,31.71915452,32.2975618,20.56524444,21.7597487
2019-09-04,31.31528298,32.45304783,17.63495787,21.08440113
2019-09-05,31.39224887,32.14759175,17.88526801,20.59454314
2019-09-06,30.87684997,31.5802482,17.37876809,18.60264492
2019-09-07,30.14660621,33.10857662,16.99592857,22.49804131
2019-09-08,31.07762527,30.80383396,16.02196109,16.91713301
2019-09-09,31.2270747,31.43862343,15.38712811,15.98629808
2019-09-10,30.7397697,31.10465439,16.51381938,17.26181674
2019-09-11,30.9661502,32.06486885,17.78553883,19.83436608
2019-09-12,31.60995984,32.76043685,19.72000186,22.03113866
2019-09-13,31.78224103,32.58954962,21.50299891,22.86348359
2019-09-14,31.74665236,32.49044991,22.87510689,23.67557414
2019-09-15,31.36564708,31.77709452,23.38792237,23.79531995
2019-09-16,31.09569502,31.71273637,21.92726167,23.4172051
2019-09-17,31.29926538,31.70170005,20.69214169,21.86002533
2019-09-18,31.30664897,31.32009562,19.59877157,21.26600242
2019-09-19,30.90819987,31.48962951,18.83923531,20.17407608
2019-09-20,30.14027015,30.18752551,22.04258021,22.06325475
2019-09-21,29.02185655,29.05600842,22.2841719,22.29871917
2019-09-22,28.93842109,28.9497753,22.50644231,22.59829696
2019-09-23,29.21270061,29.03474188,22.51281397,22.65923103
2019-09-24,29.11161606,29.12965902,22.588715,22.59949843
2019-09-25,28.91317026,28.98503049,18.48366849,21.07449818
2019-09-26,29.21000425,29.24147264,16.43604151,18.45297496
2019-09-27,29.4847668,29.41335615,17.22452474,18.49220951
2019-09-28,29.51313162,29.7525897,17.81569219,18.86358929
2019-09-29,29.80709545,30.51713737,19.11796268,20.81285429
2019-09-30,30.36032295,30.48503701,20.19105339,20.84247049
2019-10-01,30.56042274,30.62188427,20.9478577,21.48187415
2019-10-02,30.96434728,31.1717871,21.37661457,21.99776657
2019-10-03,30.79053013,30.8684268,21.34409761,21.77081108
2019-10-04,30.85149701,30.75284918,19.79317061,21.58047326
2019-10-05,30.52599017,30.79553024,17.83933715,20.53330843
2019-10-06,30.27334738,30.93939161,20.79982575,21.76142852
2019-10-07,30.02725188,30.23933514,22.35693041,22.76877991
2019-10-08,29.33430632,29.85642576,22.80417204,23.51707792
2019-10-09,28.50143186,30.25283591,22.62719623,24.55359062
2019-10-10,28.72845078,28.75407863,23.86433101,23.86440635
2019-10-11,28.19358818,28.20414344,23.90856298,23.90699164
2019-10-12,27.9530441,28.17402188,22.69206254,23.45768253
2019-10-13,26.89313618,27.54420495,20.03648853,22.9587756
2019-10-14,27.48702327,27.89935533,22.02848657,23.32974998
2019-10-15,28.00690691,28.4355185,23.19716231,23.98009141
2019-10-16,27.41082239,27.62098289,22.08697097,22.5891722
2019-10-17,24.97595414,25.11611931,20.55569188,20.61879953
2019-10-18,23.92646424,24.54702512,21.31201784,21.72386686
2019-10-19,22.32144888,22.35810836,21.63383412,21.65550955
2019-10-20,22.76353184,22.46710308,21.61794384,22.19722891
2019-10-21,24.20326479,23.81449262,21.58761644,21.99035748
